,Date,Income,Outcome,Balance,Налог на прибыль (при уплате только ежеквартальных авансовых платежей),Налог на прибыль (при уплате ежемесячных авансовых платежей с доплатой по итогам квартала),Налог на прибыль (при ежемесячной уплате авансов исходя из фактической прибыли) (АНАЛОГ F),НДС,Налог при УСН,НДФЛ с отпускных и больничных пособий	,ЕНВД,ЕСХН,Торговый сбор на территории г. Москвы,"Страховые взносы, перечисляемые в ИФНС","Взносы, уплачиваемые ИП за себя","Взносы, перечисляемые в ФСС",Налог на добычу полезных ископаемых (Последняя неделя каждого месяца),Зарплаты и авансы (не позднее 15 и 30 числа каждого месяца),Праздники РФ,COVID cases (см вкладку),GDP,Inflation Rate MoM: actual,Inflation Rate MoM: forecastCorrection,Balance of Trade: actual,Balance of Trade: forecastCorrection,Foreign Exchange Reserves: actual,Foreign Exchange Reserves: forecastCorrection,Industrial Production YoY: actual,Industrial Production YoY: forecastCorrection,Unemployment Rate: actual,Unemployment Rate: forecastCorrection,Real Wage Growth YoY: actual,Real Wage Growth YoY: forecastCorrection,PPI MoM: actual,PPI MoM: forecastCorrection,Retail Sales YoY: actual,Retail Sales YoY: forecastCorrection,Corporate Profits: actual,Corporate Profits: forecastCorrection,Markit Manufacturing PMI: actual,Markit Manufacturing PMI: forecastCorrection,Markit Services PMI: actual,Markit Services PMI: forecastCorrection,Business Confidence: actual,Business Confidence: forecastCorrection
43,2017-02-21,1.287536926,1.156467995,0.1310689302,,,,,,,,,,,,,,,,,-0.5,0.2,-0.09999999999999998,10.17,0.07000000000000028,397.3,2.1000000000000227,2.7,1.8000000000000003,5.6,0.0,1.3,-0.9999999999999998,0.8,-1.0,2.6,-0.10000000000000009,1.6,0.6200000000000001,52.5,-1.2999999999999972,55.5,-0.5,2.0,-3.0
44,2017-02-22,1.44,1.42,0.02275552139,,,,,,,,,,,,,,,,,-0.5,0.2,-0.09999999999999998,10.17,0.07000000000000028,397.3,2.1000000000000227,2.7,1.8000000000000003,5.6,0.0,1.3,-0.9999999999999998,0.8,-1.0,2.6,-0.10000000000000009,1.6,0.6200000000000001,52.5,-1.2999999999999972,55.5,-0.5,2.0,-3.0
45,2017-02-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,-0.5,0.2,-0.09999999999999998,10.17,0.07000000000000028,397.3,2.1000000000000227,2.7,1.8000000000000003,5.6,0.0,1.3,-0.9999999999999998,0.8,-1.0,2.6,-0.10000000000000009,1.6,0.6200000000000001,52.5,-1.2999999999999972,55.5,-0.5,2.0,-3.0
46,2017-02-24,0.05822875745,0.005135249404,0.05309350805,,,,,,,,,,,,,,,,,,0.2,-0.09999999999999998,10.17,0.07000000000000028,397.3,2.1000000000000227,2.7,1.8000000000000003,5.6,0.0,1.3,-0.9999999999999998,0.8,-1.0,2.6,-0.10000000000000009,1.6,0.6200000000000001,52.5,-1.2999999999999972,55.5,-0.5,2.0,-3.0
47,2017-02-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.2,-0.09999999999999998,10.17,0.07000000000000028,397.3,2.1000000000000227,2.7,1.8000000000000003,5.6,0.0,1.3,-0.9999999999999998,0.8,-1.0,2.6,-0.10000000000000009,1.6,0.6200000000000001,52.5,-1.2999999999999972,55.5,-0.5,2.0,-3.0
48,2017-02-26,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.2,-0.09999999999999998,10.17,0.07000000000000028,397.3,2.1000000000000227,2.7,1.8000000000000003,5.6,0.0,1.3,-0.9999999999999998,0.8,-1.0,2.6,-0.10000000000000009,1.6,0.6200000000000001,52.5,-1.2999999999999972,55.5,-0.5,2.0,-3.0
49,2017-02-27,1.76,1.88,-0.1188621554,,,,1.0,,,,,,,,,,,,,,0.2,-0.09999999999999998,10.17,0.07000000000000028,397.3,2.1000000000000227,2.7,1.8000000000000003,5.6,0.0,1.3,-0.9999999999999998,0.8,-1.0,2.6,-0.10000000000000009,1.6,0.6200000000000001,52.5,-1.2999999999999972,55.5,-0.5,2.0,-3.0
50,2017-02-28,1.5,1.71,-0.21112799,,1.0,1.0,,,1.0,,,,,,,,,,,,0.2,-0.09999999999999998,10.17,0.07000000000000028,397.3,2.1000000000000227,2.7,1.8000000000000003,5.6,0.0,1.3,-0.9999999999999998,0.8,-1.0,2.6,-0.10000000000000009,1.6,0.6200000000000001,52.5,-1.2999999999999972,55.5,-0.5,2.0,-3.0
51,2017-03-01,0.942491381,1.140159338,-0.1976679565,,,,,,,,,,,,,,,,,,0.1,-0.19999999999999998,12.6,1.299999999999999,397.9,-5.0,0.8,-0.5,5.4,-0.2999999999999998,1.5,-0.30000000000000004,0.3,-1.7,0.4,-1.5,2.7,1.1,52.4,-0.7000000000000028,56.6,1.3999999999999986,2.0,-1.0
52,2017-03-02,1.030243279,0.8674934693,0.1627498101,,,,,,,,,,,,,,,,,,0.1,-0.19999999999999998,12.6,1.299999999999999,397.9,-5.0,0.8,-0.5,5.4,-0.2999999999999998,1.5,-0.30000000000000004,0.3,-1.7,0.4,-1.5,2.7,1.1,52.4,-0.7000000000000028,56.6,1.3999999999999986,2.0,-1.0
53,2017-03-03,0.9810719145,0.9122794828,0.06879243173,,,,,,,,,,,,,,,,,,0.1,-0.19999999999999998,12.6,1.299999999999999,397.9,-5.0,0.8,-0.5,5.4,-0.2999999999999998,1.5,-0.30000000000000004,0.3,-1.7,0.4,-1.5,2.7,1.1,52.4,-0.7000000000000028,56.6,1.3999999999999986,2.0,-1.0
54,2017-03-04,0.0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,0.1,-0.19999999999999998,12.6,1.299999999999999,397.9,-5.0,0.8,-0.5,5.4,-0.2999999999999998,1.5,-0.30000000000000004,0.3,-1.7,0.4,-1.5,2.7,1.1,52.4,-0.7000000000000028,56.6,1.3999999999999986,2.0,-1.0
