Date,BZ=F,IMOEX.ME,USDRUB=X
2016-04-07,39.43000030517578,1858.8499755859375,67.8499984741211
2016-04-08,41.939998626708984,1877.27001953125,68.02999877929688
2016-04-11,42.83000183105469,1906.9000244140625,67.07499694824219
2016-04-12,44.689998626708984,1899.260009765625,66.75
2016-04-13,44.18000030517578,1932.800048828125,65.18499755859375
2016-04-14,43.84000015258789,1915.8499755859375,65.98999786376953
2016-04-15,43.099998474121094,1907.780029296875,65.93000030517578
2016-04-18,42.90999984741211,1892.6400146484375,66.5
2016-04-19,44.029998779296875,1930.1400146484375,66.44999694824219
2016-04-20,45.79999923706055,1960.1800537109375,65.87999725341797
2016-04-21,44.529998779296875,1950.0799560546875,65.67500305175781
2016-04-22,45.11000061035156,1967.260009765625,66.66000366210938
2016-04-25,44.47999954223633,1955.469970703125,66.76000213623047
2016-04-26,45.7400016784668,1946.550048828125,66.55999755859375
2016-04-27,47.18000030517578,1934.77001953125,65.76499938964844
2016-04-28,48.13999938964844,1969.8900146484375,65.11000061035156
2016-04-29,48.130001068115234,1953.050048828125,64.55999755859375
2016-05-02,48.099998474121094,,64.55999755859375
2016-05-03,46.75,,64.55999755859375
2016-05-04,44.619998931884766,1925.5799560546875,66.3499984741211
2016-05-05,45.0099983215332,1906.47998046875,66.58399963378906
2016-05-06,45.369998931884766,1901.56005859375,65.9739990234375
2016-05-09,43.630001068115234,,65.86199951171875
2016-05-10,45.52000045776367,1885.3399658203125,66.29000091552734
